Brand,Description,Type,Size
string,string,string,string
99 FLAVORS MINI,SCHNAPPS MINI F,LIQUEUR,0.5
ABSINTHE ABSENTE,110PF,LIQUEUR,0.75
ABSINTHE GRANDE ABSENTE,ABSINTHE 138 PF,LIQUEUR,0.75
ABSINTHE GRANDE ABSENTE,ABSINTHE 138 PF,LIQUEUR,0.1
ABSINTHE KUBLER,ABSINTHE 110PF,LIQUEUR,1 LTR
ABSINTHE LA CLANDESTINE,ABSINTHE 106 PF,LIQUEUR,0.2
AGAVERO,ORANGE LIQUEUR,LIQUEUR,0.375
AGAVERO,TEQUILA LIQUER,LIQUEUR,0.75
AMARULA,MARULA CREAM &,LIQUEUR,0.75
B & B,LIQUOR,LIQUEUR,0.75
BAUCHANT,ORANGE 750ML ON,LIQUEUR,0.75
BENEDICTINE,SCOTCH BASED,LIQUEUR,0.75
BLACKMAKER,LIQUEUR ROOT BE,LIQUEUR,0.75
CARAVELLA,LIMONCELLO,LIQUEUR,0.75
CAROLANS,IRISH CREAM,LIQUEUR,1.75
CAROLANS,IRISH CREAM & G,LIQUEUR,0.75
CHAMBORD,RASPBERRY LIQUE,LIQUEUR,0.2
CHAMBORD,RASPBERRY LIQUE,LIQUEUR,0.375
CHARTREUSE GREEN,LIQUEUR,LIQUEUR,0.75
CHILA,HORCHATA CREAM,LIQUEUR,0.75
CHILA,HORCHATA CREAM,LIQUEUR,1.75
CHILA,ORCHATA CREAM,LIQUEUR,0.5
COINTREAU,ORANGE,LIQUEUR,0.375
COINTREAU,ORANGE,LIQUEUR,0.75
DEKUYPER,AMARETTO,LIQUEUR,0.75
DEKUYPER,ANISETTE,LIQUEUR,0.75
DEKUYPER,B ALABAMA SLAMM,LIQUEUR,0.75
DEKUYPER,BLUE CURACAO,LIQUEUR,0.75
DEKUYPER,BLUE CURACAO,LIQUEUR,1 LIT
DEKUYPER,CREME DE BANANA,LIQUEUR,0.75
DEKUYPER,CREME DE CASSIS,LIQUEUR,0.75
DEKUYPER,CREME DE COCOA,LIQUEUR,0.75
DEKUYPER,CREME DE COCOA,LIQUEUR,0.375
DEKUYPER,HOT DAM 100,LIQUEUR,.375L
DEKUYPER,HOT DAM 30 PF,LIQUEUR,0.375
DEKUYPER,HOT DAM 30 PF,LIQUEUR,0.75
DEKUYPER,KEY LARGO,LIQUEUR,0.75
DEKUYPER,MIXOLOGY BLOOD,LIQUEUR,0.75
DEKUYPER,MIXOLOGY GINGER,LIQUEUR,0.75
DEKUYPER,MIXOLOGY MINT,LIQUEUR,0.75
DEKUYPER,PEACHTREE,LIQUEUR,0.375
DEKUYPER,PEACHTREE,LIQUEUR,1 LIT
DEKUYPER,PEPMINT 100,LIQUEUR,0.375
DEKUYPER,PEPMINT 100,LIQUEUR,1 LTR
DEKUYPER,PUCKER CHERRY,LIQUEUR,0.75
DEKUYPER,PUCKER ISLAND P,LIQUEUR,0.75
DEKUYPER,PUCKER SOUR APP,LIQUEUR,0.375
DEKUYPER,PUCKER SOUR APP,LIQUEUR,0.75
DEKUYPER,PUCKER WATERMEL,LIQUEUR,0.75
DEKUYPER,SCH CRANBERRY C,LIQUEUR,1 LTR
DEKUYPER,SCHNAPPS BLUEBE,LIQUEUR,0.75
DEKUYPER,SCHNAPPS BUTTER,LIQUEUR,0.2
