Brand,Description,Type,Size
VODKA,VODKA CHERRY,VODKA-AMERICAN,0.1
VODKA,VODKA CHOCOLATE,VODKA-AMERICAN,0.2
VODKA,VODKA LTR VANIL,VODKA-AMERICAN,1 LTR
VODKA,VODKA PEACH,VODKA-AMERICAN,1.75
VODKA,VODKA TEXAS,VODKA-AMERICAN,0.75
BURNETS,FLVR CHERRY,VODKA-AMERICAN,0.75
BURNETS,FLVR STRAWBERRY,VODKA-AMERICAN,0.75
BURNETS,FLVR VANILLA,VODKA-AMERICAN,0.75
BURNETS,VODKA,VODKA-AMERICAN,1 LTR
BURNETS,VODKA,VODKA-AMERICAN,1.75
CINCO,VODKA SAN ANTON,VODKA-AMERICAN,0.75
CINCO,VODKA SAN ANTON,VODKA-AMERICAN,1.75
CRYSTAL,VODKA SKULL,VODKA-AMERICAN,0.75
CRYSTAL,VODKA SKULL ROL,VODKA-AMERICAN,0.75
CRYSTAL CREEK,MOONSHINE,VODKA-AMERICAN,0.75
CRYSTAL CREEK,MOONSHINE CUCUM,VODKA-AMERICAN,0.75
CRYSTAL CREEK,MOONSHINE PEACH,VODKA-AMERICAN,0.75
DEEP EDDY,CRANBERRY,VODKA-AMERICAN,0.5
DEEP EDDY,GRAPEFRUIT,VODKA-AMERICAN,0.5
DEEP EDDY,LEMON,VODKA-AMERICAN,0.5
DEEP EDDY,LEMON,VODKA-AMERICAN,0.75
DEEP EDDY,PEACH,VODKA-AMERICAN,0.5
DEEP EDDY,SWEET TEA,VODKA-AMERICAN,0.5
DEEP EDDY,VODKA,VODKA-AMERICAN,0.5
DEEP EDDY,VODKA,VODKA-AMERICAN,0.75
DEEP EDDY,VODKA,VODKA-AMERICAN,1.75
DRIPPING SPRINGS,VODKA,VODKA-AMERICAN,0.75
DRIPPING SPRINGS,VODKA,VODKA-AMERICAN,1 LIT
DRIPPING SPRINGS,VODKA,VODKA-AMERICAN,1.75
ENCHANTED ROCK,VODKA SAN ANTON,VODKA-AMERICAN,1.75
ENCHANTED ROCK,VODKA TEXAS,VODKA-AMERICAN,0.75
EVERCLEAR,190 PF,VODKA-AMERICAN,0.375
EVERCLEAR,190 PF,VODKA-AMERICAN,1 LTR
EVERCLEAR,190 PF,VODKA-AMERICAN,1.75
FIRESTARTER VODKA,80 PF,VODKA-AMERICAN,0.75
GORDON,VODKA,VODKA-AMERICAN,1.75
GREY GOOSE,VODKA,VODKA-AMERICAN,0.375
GREY GOOSE,VODKA,VODKA-AMERICAN,0.75
GREY GOOSE,VODKA,VODKA-AMERICAN,1 LIT
HANGAR ONE,VODKA,VODKA-AMERICAN,0.75
KAMCHATKA,VODKA,VODKA-AMERICAN,0.75
MCCORMICK,TRAVELER,VODKA-AMERICAN,0.75
MCCORMICK,VODKA,VODKA-AMERICAN,1 LTR
MCCORMICK,VODKA,VODKA-AMERICAN,1.75L
MONOPOLOWA,POTATO VODKA,VODKA-AMERICAN,0.375
MONOPOLOWA,POTATO VODKA,VODKA-AMERICAN,0.5
MONOPOLOWA,POTATO VODKA,VODKA-AMERICAN,1.75
NEW AMSTERDAM,VODKA,VODKA-AMERICAN,0.2
NEW AMSTERDAM,VODKA,VODKA-AMERICAN,0.375
NEW AMSTERDAM,VODKA,VODKA-AMERICAN,0.75
NEW AMSTERDAM,VODKA,VODKA-AMERICAN,1.75
NEW AMSTERDAM,VODKA 100 PROOF,VODKA-AMERICAN,0.375
NEW AMSTERDAM,VODKA 100PROOF,VODKA-AMERICAN,0.75
NEW AMSTERDAM,VODKA CITRUS,VODKA-AMERICAN,1.75
NEW AMSTERDAM,VODKA COCONUT,VODKA-AMERICAN,0.75
NEW AMSTERDAM,VODKA COCONUT,VODKA-AMERICAN,1.75
NEW AMSTERDAM,VODKA MANGO,VODKA-AMERICAN,0.75
NEW AMSTERDAM,VODKA PEACH,VODKA-AMERICAN,0.2
NEW AMSTERDAM,VODKA PEACH,VODKA-AMERICAN,1 LTR
NEW AMSTERDAM,VODKA PEACH,VODKA-AMERICAN,1.75
NEW AMSTERDAM,VODKA PINEAPPLE,VODKA-AMERICAN,0.2
NEW AMSTERDAM,VODKA PINEAPPLE,VODKA-AMERICAN,0.5
NEW AMSTERDAM,VODKA PINEAPPLE,VODKA-AMERICAN,1.75
NEW AMSTERDAM,VODKA RED BERRY,VODKA-AMERICAN,0.375
NEW AMSTERDAM,VODKA RED BERRY,VODKA-AMERICAN,1 LTR
NEW AMSTERDAM,VODKA RED BERRY,VODKA-AMERICAN,1.75
NUE,VODKA,VODKA-AMERICAN,0.75
NUE,VODKA,VODKA-AMERICAN,1.75
OUTER SPACE,VODKA ALIEN,VODKA-AMERICAN,0.5
PFLUGER WHISKEY,WHIS SINGLE MLT,VODKA-AMERICAN,0.75
PRAIRIE ORGANIC,VODKA ORGANIC,VODKA-AMERICAN,1.75
PUCKER,VODKA APPLE,VODKA-AMERICAN,0.75
PUCKER,VODKA LEMONADE,VODKA-AMERICAN,0.75
SEAGRAMS,VODKA APPLE,VODKA-AMERICAN,0.375
SEAGRAMS,VODKA APPLE,VODKA-AMERICAN,0.75
SHADY FRUIT,FLVR GRAPEFRUIT,VODKA-AMERICAN,0.75
SHADY FRUIT,FLVR VALENCIA O,VODKA-AMERICAN,0.75
SKOL,VODKA,VODKA-AMERICAN,0.2
SKOL,VODKA,VODKA-AMERICAN,0.375
SKOL,VODKA,VODKA-AMERICAN,1 LIT
SKOL,VODKA,VODKA-AMERICAN,1.75L
SKOL,VODKA TRAVELER,VODKA-AMERICAN,0.75
SMIRNOFF,100 PF,VODKA-AMERICAN,0.2
SMIRNOFF,100 PF,VODKA-AMERICAN,0.375
SMIRNOFF,100 PF,VODKA-AMERICAN,1 LIT
SMIRNOFF,80 PF,VODKA-AMERICAN,0.2
SMIRNOFF,80 PF,VODKA-AMERICAN,1.75
SMIRNOFF,80 PF TRAVELER,VODKA-AMERICAN,0.375
SMIRNOFF,80 PF TRAVELER,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR BLUEBERRY,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR CITRUS,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR CITRUS,VODKA-AMERICAN,1.75
SMIRNOFF,FLVR COCONUT,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR CRANBERRY,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR LIME,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR PASSION FR,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR PEACH,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR PINEAPPLE,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR RASPBERRY,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR RUBY RED,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR SORBET LEM,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR SOUR BERRY,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR SOURCED CR,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR SOURCED PI,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR SOURCED RU,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR STRAWBERRY,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR VANILLA,VODKA-AMERICAN,0.75
SMIRNOFF,FLVR VANILLA,VODKA-AMERICAN,1.75
SMIRNOFF,FLVR WATERMELON,VODKA-AMERICAN,0.75
SQUARE ONE,VODKA RYE ORGAN,VODKA-AMERICAN,0.75
TAAKA,GIN,VODKA-AMERICAN,1 LTR
TAAKA,VODKA,VODKA-AMERICAN,0.2
TAAKA,VODKA,VODKA-AMERICAN,0.375
TAAKA,VODKA,VODKA-AMERICAN,0.75
TAAKA,VODKA,VODKA-AMERICAN,1 LTR
TAAKA,VODKA,VODKA-AMERICAN,1.75
TAAKA,VODKA GRAPE,VODKA-AMERICAN,1 LTR
TAAKA,VODKA PEACH,VODKA-AMERICAN,1 LTR
TITO'S,VODKA,VODKA-AMERICAN,0.2
TITO'S,VODKA 12 PK,VODKA-AMERICAN,0.375
TITO'S,VODKA MINI,VODKA-AMERICAN,0.5
TITO'S,VODKA TEXAS,VODKA-AMERICAN,0.75
TITO'S,VODKA TEXAS,VODKA-AMERICAN,1 LIT
TITO'S,VODKA TEXAS,VODKA-AMERICAN,1.75L
WESTERN SON,VODKA PRICKLY P,VODKA-AMERICAN,0.375
ABSOLUT,100 PF,VODKA-IMPORTED,0.75
ABSOLUT,80 PF,VODKA-IMPORTED,0.2
ABSOLUT,80 PF,VODKA-IMPORTED,0.375
ABSOLUT,80 PF,VODKA-IMPORTED,0.75
ABSOLUT,80 PF,VODKA-IMPORTED,1.75
ABSOLUT,CITRON,VODKA-IMPORTED,0.2
ABSOLUT,CITRON,VODKA-IMPORTED,0.375
ABSOLUT,CITRON,VODKA-IMPORTED,0.75
ABSOLUT,CITRON,VODKA-IMPORTED,1.75
ABSOLUT,MANDRIN,VODKA-IMPORTED,0.2
ABSOLUT,MANDRIN,VODKA-IMPORTED,0.375
ABSOLUT,MANDRIN,VODKA-IMPORTED,0.75
ABSOLUT,MANDRIN,VODKA-IMPORTED,1.75
ABSOLUT,MANGO,VODKA-IMPORTED,0.75
ABSOLUT,PEACH,VODKA-IMPORTED,0.75
ABSOLUT,PEAR,VODKA-IMPORTED,0.75
ABSOLUT,RASPBERRY,VODKA-IMPORTED,0.75
ABSOLUT,RASPBERRY,VODKA-IMPORTED,1 LTR
ABSOLUT,TEXAS,VODKA-IMPORTED,0.75
ABSOLUT,VANILLA,VODKA-IMPORTED,0.75
BELUGA,VODKA NOBLE,VODKA-IMPORTED,0.75
BELUGA,VODKA TRANSATLA,VODKA-IMPORTED,0.75
BELVEDERE,VODKA,VODKA-IMPORTED,0.75
BELVEDERE,VODKA BLOODY MA,VODKA-IMPORTED,0.75
BELVEDERE,VODKA PINK GRAP,VODKA-IMPORTED,0.75
CHAMBORD,RASPBERRY LIQUE,VODKA-IMPORTED,0.5
CHAMBORD,VODKA RASPBERRY,VODKA-IMPORTED,0.5
CHOPIN,VODKA POTATO,VODKA-IMPORTED,0.75
CHOPIN,VODKA RYE,VODKA-IMPORTED,0.75
CIROC,VODKA,VODKA-IMPORTED,0.375
CIROC,VODKA,VODKA-IMPORTED,0.75
CIROC,VODKA AMARETTO,VODKA-IMPORTED,0.75
CIROC,VODKA APPLE,VODKA-IMPORTED,0.2
CIROC,VODKA APPLE,VODKA-IMPORTED,0.75
CIROC,VODKA BERRY,VODKA-IMPORTED,0.375
CIROC,VODKA BERRY,VODKA-IMPORTED,0.75
CIROC,VODKA BERRY,VODKA-IMPORTED,1.75
CIROC,VODKA COCONUT,VODKA-IMPORTED,0.75
CIROC,VODKA COCONUT,VODKA-IMPORTED,1 LTR
CIROC,VODKA PEACH,VODKA-IMPORTED,1 LTR
CIROC,VODKA PEACH,VODKA-IMPORTED,1.75
CIROC,VODKA PINEAPPLE,VODKA-IMPORTED,0.375
CIROC,VODKA PINEAPPLE,VODKA-IMPORTED,0.75
CIROC,VODKA PINEAPPLE,VODKA-IMPORTED,1 LTR
CRAVE,FLVR CHOC CHERR,VODKA-IMPORTED,0.75
CRAVE,FLVR CHOC CHILI,VODKA-IMPORTED,0.75
CRAVE,FLVR CHOC MINT,VODKA-IMPORTED,0.75
DI AMORE,FLVR SAMPLER 4,VODKA-IMPORTED,0.5
DI AMORE,FLVR SINGLES,VODKA-IMPORTED,0.5
DOMAINE DE CANTON,GINGER LIQUEUR,VODKA-IMPORTED,0.75
DOUBLE CROSS,VODKA,VODKA-IMPORTED,0.75
EFFEN,BLACK CHERRY,VODKA-IMPORTED,0.375
