Brand,Description,Type,Size
string,string,string,string
14 HANDS,BRUT,CHAMPAGNE,0.75
BELAIRE,BRUT,CHAMPAGNE,0.375
BELAIRE ROSE,ROSE,CHAMPAGNE,0.75
FLASK 10 OZ,BAR FLASK 10OZ,CHAMPAGNE,10 OZ
FREIXENET,CORDON NEGRO BR,CHAMPAGNE,0.75
J ROGET,SPUMANTE,CHAMPAGNE,0.75
MARTINELLIS,SPARKLING CIDER,CHAMPAGNE,0.75
MARTINI & ROSSI,ROSE,CHAMPAGNE,0.75
PIPER HEIDSICK,BRUT,CHAMPAGNE,0.75
SEGURA VIUDAS,CAVA BRUT,CHAMPAGNE,0.75
SEGURA VIUDAS,CAVA BRUT ROSE,CHAMPAGNE,0.75
VERDI,SPUMANTE,CHAMPAGNE,1.5 L
WOODBRIDGE,SPARKLING BRUT,CHAMPAGNE,0.75
WOODBRIDGE,SPARKLING EXTRA,CHAMPAGNE,0.75
1000 STORIES,RED ZINFANDEL,WINE-AMERICAN,0.75
HANDS,CABERNET WASHIN,WINE-AMERICAN,0.75
HANDS,HOT TO TROT,WINE-AMERICAN,0.75
HANDS,MERLOT WASHINGT,WINE-AMERICAN,0.75
HANDS,PINOT GRIGIO,WINE-AMERICAN,0.75
DEADLY ZINS,M D RED ZIN,WINE-AMERICAN,0.75
HEAVENLY CHARD,M D CHARD 87 PT,WINE-AMERICAN,0.75
ALLURE,MOSCATO PINK,WINE-AMERICAN,0.75
ANGELINE,MERLOT RESERVE,WINE-AMERICAN,0.75
ARIEL,BRUT NON ALCOHO,WINE-AMERICAN,0.75
ARIEL,ROUGE NON ALCOH,WINE-AMERICAN,0.75
B-SIDE,RED,WINE-AMERICAN,0.75
BAREFOOT,4 PK CHARDONNAY,WINE-AMERICAN,4 PK
BAREFOOT,4 PK MOSCATO,WINE-AMERICAN,4 PK
BAREFOOT,CHARDONNAY,WINE-AMERICAN,1.5 L
BAREFOOT,MERLOT,WINE-AMERICAN,0.75
BAREFOOT,MERLOT,WINE-AMERICAN,1.5 L
BAREFOOT,MOSCATO,WINE-AMERICAN,0.75
BAREFOOT,MOSCATO,WINE-AMERICAN,1.5 L
